case_id,person_id,role_in_case
C0001,P0107,Primary_Suspect
C0001,P0055,Person_of_Interest
C0002,P0145,Primary_Suspect
C0002,P0141,Suspect
C0002,P0179,Associate
C0002,P0158,Person_of_Interest
C0003,P0068,Primary_Suspect
C0003,P0024,Associate
C0004,P0017,Witness
C0004,P0154,Associate
C0004,P0112,Witness
C0004,P0023,Suspect
C0004,P0037,Primary_Suspect
C0005,P0013,Primary_Suspect
C0005,P0186,Person_of_Interest
C0006,P0168,Suspect
C0006,P0080,Primary_Suspect
C0006,P0158,Associate
C0006,P0134,Person_of_Interest
C0006,P0074,Person_of_Interest
C0007,P0052,Witness
C0007,P0199,Primary_Suspect
C0008,P0190,Primary_Suspect
C0008,P0154,Associate
C0008,P0009,Associate
C0009,P0093,Associate
C0009,P0080,Primary_Suspect
C0010,P0050,Primary_Suspect
C0010,P0041,Suspect
C0011,P0093,Primary_Suspect
C0011,P0091,Person_of_Interest
C0011,P0103,Person_of_Interest
C0011,P0200,Associate
C0012,P0163,Primary_Suspect
C0012,P0189,Suspect
C0013,P0122,Primary_Suspect
C0013,P0141,Witness
C0014,P0089,Associate
C0014,P0071,Person_of_Interest
C0014,P0058,Person_of_Interest
C0014,P0073,Primary_Suspect
C0015,P0067,Associate
C0015,P0166,Primary_Suspect
C0016,P0144,Witness
C0016,P0200,Primary_Suspect
C0016,P0028,Witness
C0016,P0019,Suspect
C0016,P0130,Witness
C0017,P0178,Person_of_Interest
C0017,P0058,Primary_Suspect
C0017,P0097,Associate
C0017,P0114,Witness
C0018,P0118,Person_of_Interest
C0018,P0097,Primary_Suspect
C0018,P0151,Suspect
C0018,P0008,Witness
C0018,P0175,Suspect
C0019,P0163,Associate
C0019,P0174,Witness
C0019,P0057,Person_of_Interest
C0019,P0002,Primary_Suspect
C0019,P0180,Witness
C0020,P0176,Primary_Suspect
C0020,P0180,Witness
C0021,P0024,Person_of_Interest
C0021,P0067,Primary_Suspect
C0021,P0074,Witness
C0022,P0142,Associate
C0022,P0154,Primary_Suspect
C0023,P0056,Witness
C0023,P0076,Primary_Suspect
C0023,P0147,Associate
C0023,P0081,Associate
C0023,P0091,Person_of_Interest
C0024,P0061,Associate
C0024,P0186,Primary_Suspect
C0024,P0189,Witness
C0025,P0044,Primary_Suspect
C0025,P0052,Associate
C0025,P0059,Witness
C0026,P0028,Suspect
C0026,P0186,Primary_Suspect
C0026,P0200,Suspect
C0027,P0139,Suspect
C0027,P0196,Person_of_Interest
C0027,P0058,Primary_Suspect
C0027,P0158,Witness
C0027,P0002,Witness
C0028,P0031,Primary_Suspect
C0028,P0071,Witness
C0028,P0148,Person_of_Interest
C0028,P0047,Associate
C0028,P0126,Associate
C0029,P0135,Person_of_Interest
C0029,P0129,Primary_Suspect
C0030,P0129,Person_of_Interest
C0030,P0139,Associate
C0030,P0089,Person_of_Interest
C0030,P0009,Suspect
C0030,P0039,Primary_Suspect
C0031,P0003,Associate
C0031,P0004,Person_of_Interest
C0031,P0081,Primary_Suspect
C0031,P0177,Suspect
C0032,P0093,Associate
C0032,P0157,Witness
C0032,P0163,Primary_Suspect
C0032,P0067,Associate
C0033,P0121,Witness
C0033,P0196,Primary_Suspect
C0033,P0157,Associate
C0033,P0088,Person_of_Interest
C0034,P0054,Witness
C0034,P0108,Witness
C0034,P0123,Primary_Suspect
C0034,P0193,Person_of_Interest
C0034,P0180,Witness
C0035,P0148,Associate
C0035,P0047,Suspect
C0035,P0147,Witness
C0035,P0034,Associate
C0035,P0194,Primary_Suspect
C0036,P0038,Associate
C0036,P0098,Person_of_Interest
C0036,P0178,Primary_Suspect
C0036,P0190,Suspect
C0036,P0051,Associate
C0037,P0133,Witness
C0037,P0017,Primary_Suspect
C0037,P0162,Person_of_Interest
C0037,P0035,Witness
C0037,P0128,Witness
C0038,P0102,Suspect
C0038,P0176,Primary_Suspect
C0039,P0056,Witness
C0039,P0016,Person_of_Interest
C0039,P0058,Primary_Suspect
C0040,P0094,Primary_Suspect
C0040,P0116,Witness
C0041,P0093,Witness
C0041,P0153,Primary_Suspect
C0041,P0144,Witness
C0042,P0106,Suspect
C0042,P0107,Primary_Suspect
C0043,P0156,Associate
C0043,P0174,Witness
C0043,P0051,Witness
C0043,P0180,Primary_Suspect
C0044,P0125,Person_of_Interest
C0044,P0160,Primary_Suspect
C0044,P0131,Suspect
C0044,P0173,Person_of_Interest
C0045,P0038,Associate
C0045,P0119,Witness
C0045,P0030,Primary_Suspect
C0045,P0162,Person_of_Interest
C0046,P0042,Associate
C0046,P0181,Primary_Suspect
C0046,P0021,Witness
C0046,P0019,Witness
C0046,P0088,Witness
C0047,P0166,Witness
C0047,P0102,Person_of_Interest
C0047,P0085,Primary_Suspect
C0047,P0155,Witness
C0048,P0043,Associate
C0048,P0024,Primary_Suspect
C0048,P0106,Associate
C0048,P0006,Witness
C0048,P0048,Suspect
C0049,P0102,Suspect
C0049,P0165,Primary_Suspect
C0049,P0043,Suspect
C0050,P0122,Suspect
C0050,P0011,Primary_Suspect
C0051,P0195,Primary_Suspect
C0051,P0198,Person_of_Interest
C0052,P0027,Witness
C0052,P0092,Primary_Suspect
C0053,P0168,Person_of_Interest
C0053,P0022,Witness
C0053,P0103,Primary_Suspect
C0054,P0189,Witness
C0054,P0167,Primary_Suspect
C0054,P0064,Person_of_Interest
C0055,P0135,Associate
C0055,P0146,Primary_Suspect
C0055,P0034,Suspect
C0056,P0124,Primary_Suspect
C0056,P0170,Witness
C0057,P0122,Witness
C0057,P0120,Person_of_Interest
C0057,P0139,Associate
C0057,P0168,Primary_Suspect
C0058,P0153,Person_of_Interest
C0058,P0133,Primary_Suspect
C0058,P0152,Person_of_Interest
C0059,P0139,Associate
C0059,P0089,Primary_Suspect
C0059,P0124,Suspect
C0060,P0067,Associate
C0060,P0079,Witness
C0060,P0094,Suspect
C0060,P0106,Suspect
C0060,P0165,Primary_Suspect
C0061,P0089,Person_of_Interest
C0061,P0074,Suspect
C0061,P0193,Primary_Suspect
C0062,P0003,Person_of_Interest
C0062,P0077,Witness
C0062,P0194,Associate
C0062,P0123,Suspect
C0062,P0130,Primary_Suspect
C0063,P0021,Primary_Suspect
C0063,P0106,Person_of_Interest
C0063,P0049,Person_of_Interest
C0063,P0144,Associate
C0064,P0184,Person_of_Interest
C0064,P0081,Primary_Suspect
C0064,P0189,Person_of_Interest
C0065,P0068,Person_of_Interest
C0065,P0021,Associate
C0065,P0143,Primary_Suspect
C0066,P0167,Witness
C0066,P0191,Person_of_Interest
C0066,P0073,Associate
C0066,P0168,Primary_Suspect
C0067,P0085,Primary_Suspect
C0067,P0047,Associate
C0068,P0164,Person_of_Interest
C0068,P0029,Witness
C0068,P0030,Primary_Suspect
C0068,P0117,Person_of_Interest
C0069,P0005,Associate
C0069,P0083,Suspect
C0069,P0180,Primary_Suspect
C0070,P0066,Primary_Suspect
C0070,P0048,Suspect
C0071,P0069,Person_of_Interest
C0071,P0033,Suspect
C0071,P0118,Primary_Suspect
C0071,P0184,Associate
C0072,P0039,Suspect
C0072,P0198,Primary_Suspect
C0073,P0056,Person_of_Interest
C0073,P0080,Witness
C0073,P0108,Person_of_Interest
C0073,P0002,Primary_Suspect
C0073,P0088,Suspect
C0074,P0021,Suspect
C0074,P0193,Witness
C0074,P0188,Primary_Suspect
C0074,P0038,Person_of_Interest
C0075,P0140,Person_of_Interest
C0075,P0108,Primary_Suspect
C0076,P0050,Person_of_Interest
C0076,P0065,Suspect
C0076,P0035,Primary_Suspect
C0077,P0052,Primary_Suspect
C0077,P0197,Associate
C0078,P0129,Primary_Suspect
C0078,P0198,Suspect
C0078,P0189,Associate
C0078,P0064,Person_of_Interest
C0078,P0114,Suspect
C0079,P0150,Primary_Suspect
C0079,P0122,Witness
C0079,P0100,Witness
C0080,P0007,Primary_Suspect
C0080,P0187,Suspect
C0080,P0162,Suspect
C0081,P0069,Primary_Suspect
C0081,P0124,Associate
C0081,P0164,Witness
C0081,P0077,Suspect
C0082,P0016,Primary_Suspect
C0082,P0061,Person_of_Interest
C0082,P0029,Witness
C0083,P0043,Witness
C0083,P0116,Primary_Suspect
C0084,P0102,Associate
C0084,P0131,Primary_Suspect
C0085,P0142,Primary_Suspect
C0085,P0011,Person_of_Interest
C0086,P0096,Suspect
C0086,P0163,Primary_Suspect
C0086,P0198,Associate
C0087,P0024,Witness
C0087,P0076,Primary_Suspect
C0087,P0128,Suspect
C0088,P0011,Primary_Suspect
C0088,P0092,Associate
C0089,P0033,Person_of_Interest
C0089,P0085,Primary_Suspect
C0090,P0082,Witness
C0090,P0143,Person_of_Interest
C0090,P0199,Primary_Suspect
C0091,P0177,Person_of_Interest
C0091,P0182,Primary_Suspect
C0091,P0006,Witness
C0092,P0065,Person_of_Interest
C0092,P0107,Primary_Suspect
C0092,P0011,Person_of_Interest
C0093,P0139,Associate
C0093,P0179,Associate
C0093,P0126,Witness
C0093,P0170,Primary_Suspect
C0094,P0120,Associate
C0094,P0188,Suspect
C0094,P0030,Primary_Suspect
C0094,P0071,Associate
C0095,P0094,Person_of_Interest
C0095,P0139,Suspect
C0095,P0076,Person_of_Interest
C0095,P0068,Associate
C0095,P0175,Primary_Suspect
C0096,P0159,Witness
C0096,P0007,Primary_Suspect
C0097,P0185,Suspect
C0097,P0076,Primary_Suspect
C0097,P0083,Person_of_Interest
C0098,P0135,Person_of_Interest
C0098,P0043,Primary_Suspect
C0098,P0175,Associate
C0099,P0165,Witness
C0099,P0083,Suspect
C0099,P0172,Primary_Suspect
C0099,P0105,Suspect
C0100,P0012,Associate
C0100,P0138,Primary_Suspect
C0101,P0052,Suspect
C0101,P0118,Primary_Suspect
C0101,P0009,Person_of_Interest
C0102,P0046,Primary_Suspect
C0102,P0009,Person_of_Interest
C0102,P0026,Person_of_Interest
C0103,P0013,Suspect
C0103,P0057,Suspect
C0103,P0094,Associate
C0103,P0105,Primary_Suspect
C0104,P0164,Witness
C0104,P0173,Primary_Suspect
C0104,P0016,Person_of_Interest
C0104,P0120,Witness
C0104,P0021,Suspect
C0105,P0011,Suspect
C0105,P0092,Primary_Suspect
C0105,P0188,Witness
C0105,P0136,Suspect
C0106,P0073,Primary_Suspect
C0106,P0133,Suspect
C0106,P0025,Associate
C0107,P0169,Associate
C0107,P0050,Associate
C0107,P0135,Person_of_Interest
C0107,P0041,Primary_Suspect
C0107,P0049,Suspect
C0108,P0180,Person_of_Interest
C0108,P0174,Primary_Suspect
C0108,P0118,Suspect
C0108,P0173,Associate
C0109,P0011,Primary_Suspect
C0109,P0141,Witness
C0109,P0103,Associate
C0110,P0054,Primary_Suspect
C0110,P0141,Witness
C0110,P0084,Person_of_Interest
C0110,P0081,Person_of_Interest
C0110,P0091,Witness
C0111,P0048,Primary_Suspect
C0111,P0145,Associate
C0111,P0140,Person_of_Interest
C0112,P0093,Person_of_Interest
C0112,P0193,Primary_Suspect
C0112,P0115,Suspect
C0112,P0116,Suspect
C0113,P0005,Associate
C0113,P0153,Witness
C0113,P0172,Primary_Suspect
C0113,P0133,Suspect
C0114,P0057,Suspect
C0114,P0092,Primary_Suspect
C0114,P0081,Witness
C0114,P0055,Associate
C0115,P0010,Person_of_Interest
C0115,P0082,Primary_Suspect
C0116,P0068,Witness
C0116,P0145,Primary_Suspect
C0116,P0036,Associate
C0116,P0040,Associate
C0117,P0024,Person_of_Interest
C0117,P0147,Associate
C0117,P0064,Primary_Suspect
C0117,P0077,Suspect
C0118,P0045,Suspect
C0118,P0123,Primary_Suspect
C0118,P0124,Witness
C0118,P0125,Suspect
C0119,P0015,Witness
C0119,P0166,Primary_Suspect
C0119,P0200,Witness
C0119,P0021,Person_of_Interest
C0119,P0198,Person_of_Interest
C0120,P0188,Primary_Suspect
C0120,P0198,Associate
C0121,P0163,Person_of_Interest
C0121,P0197,Primary_Suspect
C0122,P0079,Suspect
C0122,P0094,Primary_Suspect
C0123,P0139,Witness
C0123,P0145,Associate
C0123,P0094,Primary_Suspect
C0123,P0039,Associate
C0124,P0046,Primary_Suspect
C0124,P0173,Person_of_Interest
C0125,P0148,Suspect
C0125,P0011,Primary_Suspect
C0125,P0153,Associate
C0125,P0193,Person_of_Interest
C0125,P0130,Witness
C0126,P0038,Person_of_Interest
C0126,P0022,Suspect
C0126,P0011,Primary_Suspect
C0126,P0034,Person_of_Interest
C0126,P0087,Witness
C0127,P0012,Primary_Suspect
C0127,P0103,Person_of_Interest
C0128,P0196,Person_of_Interest
C0128,P0035,Associate
C0128,P0097,Primary_Suspect
C0129,P0102,Associate
C0129,P0167,Associate
C0129,P0147,Suspect
C0129,P0097,Primary_Suspect
C0129,P0051,Witness
C0130,P0148,Suspect
C0130,P0129,Primary_Suspect
C0130,P0083,Person_of_Interest
C0130,P0176,Person_of_Interest
C0130,P0023,Witness
C0131,P0089,Suspect
C0131,P0049,Witness
C0131,P0083,Associate
C0131,P0055,Primary_Suspect
C0132,P0160,Associate
C0132,P0107,Primary_Suspect
C0132,P0158,Person_of_Interest
C0132,P0114,Suspect
C0133,P0052,Witness
C0133,P0054,Primary_Suspect
C0133,P0176,Associate
C0134,P0147,Primary_Suspect
C0134,P0029,Suspect
C0135,P0038,Witness
C0135,P0159,Suspect
C0135,P0015,Primary_Suspect
C0136,P0029,Person_of_Interest
C0136,P0178,Person_of_Interest
C0136,P0022,Primary_Suspect
C0136,P0079,Suspect
C0137,P0154,Primary_Suspect
C0137,P0054,Associate
C0137,P0190,Associate
C0137,P0138,Witness
C0138,P0160,Suspect
C0138,P0178,Person_of_Interest
C0138,P0187,Suspect
C0138,P0153,Primary_Suspect
C0138,P0037,Witness
C0139,P0016,Associate
C0139,P0073,Witness
C0139,P0134,Primary_Suspect
C0140,P0122,Primary_Suspect
C0140,P0120,Suspect
C0141,P0100,Witness
C0141,P0124,Primary_Suspect
C0142,P0075,Person_of_Interest
C0142,P0028,Associate
C0142,P0005,Person_of_Interest
C0142,P0134,Primary_Suspect
C0143,P0081,Person_of_Interest
C0143,P0090,Primary_Suspect
C0144,P0123,Primary_Suspect
C0144,P0048,Associate
C0145,P0144,Associate
C0145,P0011,Witness
C0145,P0006,Witness
C0145,P0183,Person_of_Interest
C0145,P0049,Primary_Suspect
C0146,P0191,Witness
C0146,P0005,Witness
C0146,P0089,Witness
C0146,P0041,Associate
C0146,P0097,Primary_Suspect
C0147,P0161,Person_of_Interest
C0147,P0016,Suspect
C0147,P0028,Primary_Suspect
C0147,P0066,Witness
C0148,P0157,Primary_Suspect
C0148,P0039,Person_of_Interest
C0148,P0088,Associate
C0149,P0187,Person_of_Interest
C0149,P0095,Primary_Suspect
C0150,P0107,Associate
