case_id,crime_type,date,location,status,severity,primary_suspect_id,linked_person_count
C0001,Fraud,2023-10-31,Pune,Closed,Low,P0107,1
C0002,Drug_Trafficking,2023-07-26,Jaipur,Closed,High,P0145,1
C0003,Cybercrime,2025-08-26,Delhi,Open,High,P0068,4
C0004,Extortion,2025-04-02,Delhi,Under_Investigation,High,P0037,4
C0005,Vehicle_Theft,2024-07-04,Jaipur,Open,High,P0013,2
C0006,Drug_Trafficking,2023-07-21,Mumbai,Open,High,P0080,3
C0007,Vehicle_Theft,2023-07-02,Mumbai,Under_Investigation,Medium,P0199,4
C0008,Drug_Trafficking,2025-02-04,Delhi,Closed,Medium,P0190,4
C0009,Extortion,2025-11-03,Lucknow,Open,Low,P0080,1
C0010,Drug_Trafficking,2023-04-29,Mumbai,Open,Critical,P0050,2
C0011,Extortion,2024-02-12,Jaipur,Under_Investigation,Critical,P0093,1
C0012,Fraud,2025-02-01,Lucknow,Closed,Critical,P0163,4
C0013,Cybercrime,2024-12-17,Jaipur,Open,High,P0122,2
C0014,Robbery,2025-03-02,Delhi,Open,Medium,P0073,1
C0015,Extortion,2024-02-28,Jaipur,Closed,Critical,P0166,2
C0016,Drug_Trafficking,2023-01-19,Lucknow,Open,Medium,P0200,1
C0017,Burglary,2024-09-17,Kolkata,Closed,High,P0058,1
C0018,Fraud,2025-08-13,Jaipur,Closed,Critical,P0097,4
C0019,Cybercrime,2025-02-05,Pune,Closed,High,P0002,1
C0020,Robbery,2024-11-19,Jaipur,Closed,High,P0176,3
C0021,Extortion,2024-09-03,Mumbai,Open,Medium,P0067,3
C0022,Vehicle_Theft,2024-10-16,Kolkata,Open,Low,P0154,1
C0023,Vehicle_Theft,2023-03-14,Pune,Closed,Medium,P0076,4
C0024,Extortion,2025-12-30,Kolkata,Under_Investigation,High,P0186,3
C0025,Fraud,2024-08-24,Delhi,Under_Investigation,Medium,P0044,3
C0026,Fraud,2024-11-18,Kolkata,Open,Medium,P0186,3
C0027,Vehicle_Theft,2024-11-09,Jaipur,Under_Investigation,High,P0058,3
C0028,Cybercrime,2026-04-03,Pune,Open,Critical,P0031,4
C0029,Drug_Trafficking,2025-02-20,Pune,Under_Investigation,Critical,P0129,2
C0030,Fraud,2024-02-15,Jaipur,Under_Investigation,Critical,P0039,1
C0031,Fraud,2023-06-15,Lucknow,Under_Investigation,Medium,P0081,2
C0032,Vehicle_Theft,2024-07-14,Mumbai,Open,Medium,P0163,3
C0033,Cybercrime,2025-06-07,Kolkata,Under_Investigation,Critical,P0196,4
C0034,Cybercrime,2024-02-13,Kolkata,Under_Investigation,Low,P0123,4
C0035,Robbery,2023-01-09,Kolkata,Closed,Medium,P0194,3
C0036,Burglary,2023-09-22,Delhi,Under_Investigation,High,P0178,2
C0037,Burglary,2024-08-18,Lucknow,Closed,High,P0017,2
C0038,Burglary,2024-01-21,Mumbai,Under_Investigation,Low,P0176,4
C0039,Fraud,2024-03-08,Kolkata,Open,Medium,P0058,2
C0040,Extortion,2023-03-18,Lucknow,Closed,High,P0094,1
C0041,Robbery,2023-08-10,Kolkata,Open,Low,P0153,1
C0042,Vehicle_Theft,2025-02-17,Delhi,Closed,High,P0107,1
C0043,Extortion,2023-01-20,Jaipur,Under_Investigation,Low,P0180,4
C0044,Fraud,2025-05-07,Delhi,Closed,Low,P0160,3
C0045,Fraud,2024-02-14,Jaipur,Closed,Medium,P0030,3
C0046,Fraud,2023-03-22,Pune,Under_Investigation,Medium,P0181,3
C0047,Extortion,2023-07-02,Delhi,Closed,Critical,P0085,4
C0048,Cybercrime,2023-06-03,Kolkata,Closed,Low,P0024,2
C0049,Burglary,2024-06-24,Lucknow,Open,Low,P0165,3
C0050,Burglary,2024-10-02,Lucknow,Closed,Low,P0011,2
C0051,Robbery,2023-01-20,Mumbai,Closed,Medium,P0195,1
C0052,Burglary,2023-07-10,Jaipur,Under_Investigation,Medium,P0092,3
C0053,Vehicle_Theft,2025-07-23,Jaipur,Under_Investigation,Critical,P0103,1
C0054,Extortion,2023-05-01,Mumbai,Open,Critical,P0167,4
C0055,Cybercrime,2025-02-16,Jaipur,Closed,Low,P0146,4
C0056,Robbery,2025-04-22,Lucknow,Open,Low,P0124,2
C0057,Extortion,2025-12-10,Kolkata,Closed,Medium,P0168,3
C0058,Extortion,2023-07-15,Lucknow,Closed,Medium,P0133,3
C0059,Vehicle_Theft,2023-11-01,Pune,Closed,Low,P0089,4
C0060,Fraud,2025-11-01,Lucknow,Under_Investigation,Medium,P0165,1
C0061,Vehicle_Theft,2024-10-18,Mumbai,Under_Investigation,High,P0193,1
C0062,Fraud,2026-02-01,Kolkata,Under_Investigation,Critical,P0130,1
C0063,Vehicle_Theft,2026-03-19,Lucknow,Open,Critical,P0021,2
C0064,Extortion,2023-02-06,Delhi,Under_Investigation,Critical,P0081,4
C0065,Cybercrime,2023-01-01,Delhi,Closed,High,P0143,1
C0066,Vehicle_Theft,2024-11-29,Jaipur,Open,Medium,P0168,2
C0067,Cybercrime,2025-08-26,Kolkata,Closed,High,P0085,4
C0068,Fraud,2023-01-05,Jaipur,Under_Investigation,High,P0030,4
C0069,Fraud,2025-10-05,Mumbai,Closed,Critical,P0180,3
C0070,Cybercrime,2024-02-06,Mumbai,Open,Critical,P0066,1
C0071,Extortion,2024-11-23,Delhi,Under_Investigation,Low,P0118,2
C0072,Vehicle_Theft,2025-07-25,Kolkata,Closed,Medium,P0198,1
C0073,Cybercrime,2025-06-05,Pune,Under_Investigation,Medium,P0002,4
C0074,Robbery,2025-03-04,Kolkata,Closed,High,P0188,2
C0075,Fraud,2024-07-14,Lucknow,Under_Investigation,High,P0108,4
C0076,Extortion,2025-11-15,Jaipur,Closed,High,P0035,4
C0077,Cybercrime,2024-08-18,Kolkata,Under_Investigation,Medium,P0052,2
C0078,Extortion,2024-10-22,Kolkata,Open,High,P0129,2
C0079,Vehicle_Theft,2025-12-29,Jaipur,Under_Investigation,Low,P0150,4
C0080,Vehicle_Theft,2023-10-25,Delhi,Closed,Low,P0007,1
C0081,Drug_Trafficking,2023-11-26,Jaipur,Closed,High,P0069,2
C0082,Drug_Trafficking,2024-08-27,Mumbai,Closed,Low,P0016,2
C0083,Drug_Trafficking,2026-02-24,Mumbai,Closed,Critical,P0116,3
C0084,Burglary,2023-04-07,Lucknow,Under_Investigation,Critical,P0131,2
C0085,Extortion,2024-05-29,Mumbai,Closed,Critical,P0142,3
C0086,Extortion,2025-01-23,Pune,Closed,Medium,P0163,2
C0087,Fraud,2023-06-02,Mumbai,Open,Low,P0076,2
C0088,Burglary,2023-09-24,Mumbai,Closed,High,P0011,4
C0089,Vehicle_Theft,2023-11-14,Delhi,Open,High,P0085,1
C0090,Extortion,2024-09-08,Lucknow,Closed,High,P0199,1
C0091,Burglary,2025-12-12,Mumbai,Open,Low,P0182,1
C0092,Cybercrime,2025-04-06,Delhi,Under_Investigation,Medium,P0107,2
C0093,Burglary,2025-01-08,Jaipur,Open,Critical,P0170,2
C0094,Extortion,2024-12-09,Lucknow,Open,Medium,P0030,1
