evidence_id,case_id,person_id,evidence_type,confidence,timestamp
EV0001,C0080,P0155,Bank_Transaction,0.555,2023-09-27
EV0002,C0053,P0168,CCTV,0.659,2024-02-19
EV0003,C0036,P0080,Witness_Statement,0.757,2025-12-08
EV0004,C0035,P0111,CCTV,0.718,2026-03-02
EV0005,C0041,P0082,Phone_Record,0.64,2023-08-31
EV0006,C0048,P0082,CCTV,0.774,2024-10-14
EV0007,C0106,P0106,Bank_Transaction,0.55,2024-07-14
EV0008,C0039,P0200,CCTV,0.284,2024-01-14
EV0009,C0007,P0196,Location_Data,0.687,2026-03-07
EV0010,C0060,P0153,CCTV,0.382,2023-02-23
EV0011,C0092,P0021,Witness_Statement,0.816,2023-10-02
EV0012,C0129,P0155,Vehicle_Record,0.762,2025-02-04
EV0013,C0048,P0100,Vehicle_Record,0.574,2023-12-02
EV0014,C0050,P0058,Phone_Record,0.523,2023-01-31
EV0015,C0070,P0106,CCTV,0.786,2024-02-20
EV0016,C0053,P0017,CCTV,0.932,2025-06-18
EV0017,C0126,P0177,Bank_Transaction,0.885,2024-05-20
EV0018,C0110,P0104,Phone_Record,0.68,2025-02-18
EV0019,C0081,P0101,Location_Data,0.942,2026-03-17
EV0020,C0138,P0135,Witness_Statement,0.892,2023-03-20
EV0021,C0134,P0028,Vehicle_Record,0.561,2023-03-28
EV0022,C0063,P0133,Location_Data,0.513,2023-03-22
EV0023,C0143,P0100,Location_Data,0.804,2023-04-11
EV0024,C0049,P0075,Vehicle_Record,0.514,2024-09-15
EV0025,C0074,P0119,CCTV,0.534,2023-04-22
EV0026,C0133,P0037,Vehicle_Record,0.856,2025-07-14
EV0027,C0024,P0185,Location_Data,0.289,2026-04-13
EV0028,C0140,P0035,Vehicle_Record,0.527,2025-07-12
EV0029,C0007,P0046,Vehicle_Record,0.666,2024-02-18
EV0030,C0117,P0024,Bank_Transaction,0.456,2023-12-02
EV0031,C0032,P0024,Phone_Record,0.758,2025-01-13
EV0032,C0022,P0135,Witness_Statement,0.503,2025-11-13
EV0033,C0041,P0097,Location_Data,0.501,2023-12-16
EV0034,C0086,P0145,Witness_Statement,0.882,2023-11-29
EV0035,C0038,P0046,Witness_Statement,0.241,2024-09-22
EV0036,C0080,P0187,Vehicle_Record,0.428,2024-01-06
EV0037,C0031,P0034,CCTV,0.203,2024-06-02
EV0038,C0004,P0118,Vehicle_Record,0.876,2026-01-18
EV0039,C0002,P0156,Vehicle_Record,0.388,2025-09-01
EV0040,C0117,P0105,Vehicle_Record,0.263,2023-01-14
EV0041,C0063,P0141,Bank_Transaction,0.69,2026-02-15
EV0042,C0054,P0013,CCTV,0.317,2024-12-15
EV0043,C0010,P0038,Phone_Record,0.727,2024-09-03
EV0044,C0085,P0023,Phone_Record,0.286,2024-01-01
EV0045,C0042,P0173,Bank_Transaction,0.683,2026-03-18
EV0046,C0144,P0046,Vehicle_Record,0.792,2025-01-07
EV0047,C0010,P0024,Bank_Transaction,0.455,2025-02-15
EV0048,C0018,P0195,Vehicle_Record,0.866,2023-05-13
EV0049,C0075,P0121,CCTV,0.296,2024-07-16
EV0050,C0085,P0135,Vehicle_Record,0.614,2024-03-04
EV0051,C0015,P0028,Location_Data,0.776,2025-12-19
EV0052,C0023,P0124,Witness_Statement,0.744,2024-08-11
EV0053,C0110,P0156,Bank_Transaction,0.405,2026-03-23
EV0054,C0091,P0034,Location_Data,0.644,2025-11-30
EV0055,C0128,P0127,CCTV,0.898,2024-04-21
EV0056,C0075,P0050,Phone_Record,0.293,2025-08-10
EV0057,C0031,P0189,CCTV,0.832,2025-04-29
EV0058,C0106,P0012,Bank_Transaction,0.476,2024-03-10
EV0059,C0003,P0164,CCTV,0.745,2024-06-05
EV0060,C0018,P0079,Bank_Transaction,0.6,2024-10-25
EV0061,C0002,P0030,Witness_Statement,0.463,2025-03-22
EV0062,C0146,P0158,Phone_Record,0.857,2024-02-02
EV0063,C0085,P0087,Witness_Statement,0.578,2025-08-29
EV0064,C0010,P0166,CCTV,0.58,2025-08-01
EV0065,C0138,P0086,Vehicle_Record,0.819,2025-04-27
EV0066,C0015,P0134,Bank_Transaction,0.646,2024-10-08
EV0067,C0143,P0138,Phone_Record,0.365,2024-11-10
EV0068,C0091,P0017,CCTV,0.422,2023-03-05
EV0069,C0087,P0097,Witness_Statement,0.622,2023-12-06
EV0070,C0147,P0156,Vehicle_Record,0.348,2023-08-28
EV0071,C0079,P0181,Bank_Transaction,0.761,2024-07-10
EV0072,C0106,P0023,Vehicle_Record,0.893,2025-01-31
EV0073,C0116,P0078,CCTV,0.615,2023-12-25
EV0074,C0029,P0096,Phone_Record,0.814,2023-07-09
EV0075,C0114,P0130,Phone_Record,0.831,2025-10-21
EV0076,C0040,P0049,Bank_Transaction,0.93,2025-12-08
EV0077,C0080,P0199,Bank_Transaction,0.313,2023-07-21
EV0078,C0133,P0174,CCTV,0.362,2023-03-16
EV0079,C0118,P0100,Witness_Statement,0.883,2023-08-26
EV0080,C0002,P0080,Phone_Record,0.743,2023-06-28
EV0081,C0086,P0120,Phone_Record,0.281,2024-10-01
EV0082,C0006,P0148,Bank_Transaction,0.705,2024-03-05
EV0083,C0083,P0052,CCTV,0.426,2025-12-26
EV0084,C0082,P0198,Vehicle_Record,0.73,2024-07-12
EV0085,C0039,P0041,Bank_Transaction,0.29,2026-02-20
EV0086,C0132,P0027,CCTV,0.629,2026-01-30
EV0087,C0082,P0070,CCTV,0.945,2024-08-03
EV0088,C0147,P0063,CCTV,0.256,2024-11-24
EV0089,C0139,P0114,Phone_Record,0.303,2025-08-22
EV0090,C0013,P0028,Vehicle_Record,0.243,2025-05-23
EV0091,C0101,P0046,Witness_Statement,0.671,2025-07-02
EV0092,C0092,P0080,Bank_Transaction,0.846,2025-12-28
EV0093,C0021,P0194,Vehicle_Record,0.649,2023-07-10
EV0094,C0120,P0025,Vehicle_Record,0.445,2025-08-11
EV0095,C0121,P0060,CCTV,0.314,2024-06-12
EV0096,C0094,P0101,CCTV,0.753,2024-11-07
EV0097,C0084,P0117,Vehicle_Record,0.224,2025-08-31
EV0098,C0029,P0090,Vehicle_Record,0.564,2023-12-16
EV0099,C0073,P0197,Bank_Transaction,0.678,2023-09-18
EV0100,C0131,P0027,Vehicle_Record,0.846,2023-08-08
EV0101,C0084,P0143,Witness_Statement,0.256,2024-09-10
EV0102,C0137,P0119,Vehicle_Record,0.667,2024-05-03
EV0103,C0063,P0141,CCTV,0.969,2025-02-25
EV0104,C0017,P0088,CCTV,0.843,2025-06-01
EV0105,C0112,P0146,Bank_Transaction,0.63,2024-04-28
EV0106,C0045,P0170,Witness_Statement,0.262,2026-03-21
EV0107,C0125,P0030,Location_Data,0.671,2024-10-28
EV0108,C0143,P0025,Vehicle_Record,0.339,2025-04-11
EV0109,C0018,P0154,Phone_Record,0.742,2025-02-15
EV0110,C0084,P0127,Witness_Statement,0.722,2023-07-05
EV0111,C0056,P0036,Location_Data,0.914,2023-01-01
EV0112,C0038,P0170,CCTV,0.558,2024-08-19
EV0113,C0100,P0158,Location_Data,0.553,2024-02-26
EV0114,C0082,P0077,Location_Data,0.828,2024-09-15
EV0115,C0112,P0184,Bank_Transaction,0.982,2026-04-08
EV0116,C0003,P0157,Location_Data,0.519,2023-09-19
EV0117,C0076,P0016,Bank_Transaction,0.912,2023-04-19
EV0118,C0001,P0181,Location_Data,0.848,2025-01-05
EV0119,C0029,P0073,Phone_Record,0.386,2025-03-18
EV0120,C0082,P0183,Vehicle_Record,0.521,2025-06-10
EV0121,C0140,P0055,Witness_Statement,0.337,2023-10-12
EV0122,C0049,P0143,Vehicle_Record,0.866,2025-01-07
EV0123,C0107,P0040,Bank_Transaction,0.988,2023-09-15
EV0124,C0035,P0003,Phone_Record,0.712,2023-10-22
EV0125,C0125,P0169,Vehicle_Record,0.97,2023-10-06
EV0126,C0022,P0036,Witness_Statement,0.837,2025-07-22
EV0127,C0109,P0160,CCTV,0.559,2025-05-18
EV0128,C0142,P0116,Vehicle_Record,0.481,2024-01-16
EV0129,C0109,P0155,Phone_Record,0.657,2024-04-29
EV0130,C0129,P0069,Vehicle_Record,0.932,2026-03-26
EV0131,C0094,P0009,Phone_Record,0.649,2025-01-24
EV0132,C0029,P0149,Vehicle_Record,0.96,2023-06-13
EV0133,C0037,P0187,Witness_Statement,0.616,2024-07-26
EV0134,C0120,P0133,Phone_Record,0.613,2023-07-01
EV0135,C0063,P0121,Witness_Statement,0.786,2023-06-09
EV0136,C0139,P0149,Bank_Transaction,0.684,2024-12-04
EV0137,C0137,P0200,Phone_Record,0.57,2025-11-15
EV0138,C0121,P0147,Witness_Statement,0.462,2024-12-23
EV0139,C0076,P0075,CCTV,0.228,2024-09-14
EV0140,C0145,P0067,Phone_Record,0.697,2026-03-30
EV0141,C0044,P0147,Phone_Record,0.718,2024-08-20
EV0142,C0007,P0074,Vehicle_Record,0.265,2025-11-01
EV0143,C0020,P0072,Bank_Transaction,0.305,2024-07-29
EV0144,C0071,P0066,Phone_Record,0.786,2023-12-24
EV0145,C0039,P0169,Vehicle_Record,0.492,2023-12-26
EV0146,C0067,P0180,CCTV,0.583,2025-12-16
EV0147,C0009,P0088,Phone_Record,0.964,2023-11-12
EV0148,C0127,P0193,Vehicle_Record,0.809,2024-05-02
EV0149,C0113,P0186,Witness_Statement,0.332,2026-03-29
EV0150,C0089,P0014,Witness_Statement,0.409,2023-08-26
EV0151,C0014,P0043,Vehicle_Record,0.515,2024-09-09
EV0152,C0122,P0192,Location_Data,0.385,2025-03-09
EV0153,C0122,P0068,CCTV,0.619,2025-06-09
EV0154,C0004,P0074,Vehicle_Record,0.502,2024-10-08
EV0155,C0136,P0175,Phone_Record,0.277,2025-12-24
EV0156,C0091,P0111,Location_Data,0.925,2024-07-12
EV0157,C0086,P0070,Bank_Transaction,0.834,2024-06-06
EV0158,C0150,P0101,Vehicle_Record,0.811,2024-05-10
EV0159,C0050,P0134,Bank_Transaction,0.735,2024-01-04
EV0160,C0081,P0141,Phone_Record,0.732,2023-05-20
EV0161,C0004,P0106,Phone_Record,0.615,2025-07-02
EV0162,C0090,P0057,Witness_Statement,0.424,2024-01-31
EV0163,C0009,P0007,Location_Data,0.273,2024-03-20
EV0164,C0032,P0182,Phone_Record,0.268,2023-09-24
EV0165,C0097,P0169,Witness_Statement,0.647,2024-01-14
EV0166,C0029,P0179,CCTV,0.4,2025-08-14
EV0167,C0020,P0164,Vehicle_Record,0.929,2024-07-20
EV0168,C0110,P0178,Witness_Statement,0.808,2024-10-24
EV0169,C0066,P0042,Phone_Record,0.419,2023-05-08
EV0170,C0098,P0100,Bank_Transaction,0.987,2024-06-12
EV0171,C0068,P0046,Vehicle_Record,0.255,2024-02-15
EV0172,C0101,P0046,Witness_Statement,0.589,2023-10-22
EV0173,C0139,P0197,Vehicle_Record,0.373,2023-08-06
EV0174,C0114,P0184,Bank_Transaction,0.282,2023-05-30
EV0175,C0019,P0147,Witness_Statement,0.398,2025-07-02
EV0176,C0005,P0128,CCTV,0.716,2023-01-02
EV0177,C0010,P0171,Vehicle_Record,0.41,2024-11-06
EV0178,C0101,P0148,Phone_Record,0.607,2025-10-01
EV0179,C0123,P0112,Vehicle_Record,0.867,2023-05-24
EV0180,C0139,P0058,Phone_Record,0.504,2025-09-14
EV0181,C0032,P0146,Location_Data,0.939,2025-01-05
EV0182,C0086,P0175,Bank_Transaction,0.516,2023-07-05
EV0183,C0094,P0137,Bank_Transaction,0.264,2025-07-30
EV0184,C0075,P0166,CCTV,0.34,2023-03-22
EV0185,C0099,P0170,CCTV,0.436,2025-03-09
EV0186,C0028,P0162,Witness_Statement,0.484,2023-06-23
EV0187,C0113,P0189,CCTV,0.311,2024-01-31
EV0188,C0007,P0185,Location_Data,0.388,2025-03-07
EV0189,C0017,P0139,Witness_Statement,0.443,2025-12-29
EV0190,C0116,P0005,Phone_Record,0.468,2024-11-22
EV0191,C0011,P0104,Phone_Record,0.367,2025-12-07
EV0192,C0118,P0174,Location_Data,0.318,2026-04-01
EV0193,C0060,P0019,Phone_Record,0.781,2025-09-28
EV0194,C0005,P0121,Location_Data,0.236,2023-09-25
EV0195,C0004,P0045,Witness_Statement,0.239,2024-09-21
EV0196,C0025,P0117,Location_Data,0.335,2023-05-11
EV0197,C0028,P0030,Vehicle_Record,0.67,2024-03-27
EV0198,C0017,P0052,Vehicle_Record,0.467,2025-04-03
EV0199,C0084,P0031,Witness_Statement,0.655,2023-10-09
EV0200,C0083,P0055,Phone_Record,0.669,2024-11-18
EV0201,C0017,P0031,Bank_Transaction,0.312,2025-04-30
EV0202,C0044,P0179,Bank_Transaction,0.637,2025-06-17
EV0203,C0063,P0149,Phone_Record,0.305,2025-02-09
EV0204,C0041,P0005,Vehicle_Record,0.264,2023-01-15
EV0205,C0046,P0023,Witness_Statement,0.715,2024-08-04
EV0206,C0107,P0178,Vehicle_Record,0.747,2024-02-27
EV0207,C0037,P0164,Bank_Transaction,0.613,2025-04-23
EV0208,C0062,P0045,Location_Data,0.746,2024-01-04
EV0209,C0128,P0157,Phone_Record,0.695,2024-09-08
EV0210,C0090,P0108,Phone_Record,0.641,2024-01-29
EV0211,C0031,P0136,Phone_Record,0.689,2026-01-10
EV0212,C0130,P0057,Vehicle_Record,0.809,2024-03-02
EV0213,C0071,P0014,CCTV,0.289,2023-11-02
EV0214,C0122,P0128,CCTV,0.326,2023-03-30
EV0215,C0014,P0166,Bank_Transaction,0.425,2025-06-09
EV0216,C0065,P0086,Location_Data,0.836,2025-07-17
EV0217,C0012,P0027,Witness_Statement,0.241,2026-01-05
EV0218,C0046,P0041,Phone_Record,0.583,2023-08-26
EV0219,C0019,P0061,Witness_Statement,0.551,2026-04-02
EV0220,C0084,P0108,CCTV,0.79,2024-10-29
EV0221,C0059,P0200,Phone_Record,0.458,2023-07-20
EV0222,C0061,P0189,Vehicle_Record,0.887,2025-02-08
EV0223,C0057,P0019,Vehicle_Record,0.662,2023-04-22
EV0224,C0112,P0038,CCTV,0.933,2025-07-20
EV0225,C0046,P0100,Bank_Transaction,0.308,2024-02-02
EV0226,C0092,P0070,CCTV,0.465,2023-03-07
EV0227,C0146,P0016,Bank_Transaction,0.308,2025-08-11
EV0228,C0118,P0108,CCTV,0.801,2024-03-26
EV0229,C0076,P0155,CCTV,0.824,2023-12-15
EV0230,C0148,P0142,CCTV,0.268,2025-12-04
EV0231,C0126,P0056,Location_Data,0.574,2025-08-05
EV0232,C0072,P0004,Witness_Statement,0.538,2024-05-20
EV0233,C0064,P0084,Vehicle_Record,0.658,2023-11-02
EV0234,C0147,P0002,Vehicle_Record,0.974,2023-03-24
EV0235,C0121,P0188,Location_Data,0.227,2025-12-23
EV0236,C0101,P0123,Witness_Statement,0.849,2025-07-15
EV0237,C0127,P0062,Phone_Record,0.641,2023-01-26
EV0238,C0105,P0056,CCTV,0.483,2024-05-04
EV0239,C0024,P0005,Vehicle_Record,0.729,2023-11-28
EV0240,C0118,P0147,Witness_Statement,0.661,2025-07-20
EV0241,C0119,P0198,CCTV,0.891,2025-04-10
EV0242,C0048,P0095,Witness_Statement,0.567,2023-01-03
EV0243,C0019,P0099,Witness_Statement,0.463,2023-03-08
EV0244,C0076,P0110,Bank_Transaction,0.751,2026-01-15
EV0245,C0148,P0054,Witness_Statement,0.264,2024-11-18
EV0246,C0015,P0132,Witness_Statement,0.488,2023-04-16
EV0247,C0029,P0099,Bank_Transaction,0.568,2023-03-25
EV0248,C0094,P0094,CCTV,0.712,2023-05-18
EV0249,C0144,P0182,CCTV,0.309,2024-11-16
EV0250,C0062,P0139,Phone_Record,0.713,2026-04-03
EV0251,C0054,P0193,Witness_Statement,0.801,2024-10-18
EV0252,C0091,P0069,Location_Data,0.737,2024-07-21
EV0253,C0014,P0017,Bank_Transaction,0.473,2025-09-22
EV0254,C0129,P0135,Phone_Record,0.571,2025-12-25
EV0255,C0137,P0075,Vehicle_Record,0.691,2023-05-15
EV0256,C0049,P0118,Phone_Record,0.263,2024-01-02
EV0257,C0074,P0020,Phone_Record,0.33,2023-08-18
EV0258,C0038,P0128,CCTV,0.891,2025-12-02
EV0259,C0006,P0076,Vehicle_Record,0.966,2026-01-13
EV0260,C0034,P0122,Bank_Transaction,0.532,2023-02-13
EV0261,C0075,P0049,Phone_Record,0.217,2024-04-20
EV0262,C0134,P0166,Bank_Transaction,0.525,2024-12-03
EV0263,C0084,P0125,Location_Data,0.726,2025-12-21
EV0264,C0141,P0114,Vehicle_Record,0.44,2023-09-28
EV0265,C0079,P0044,Bank_Transaction,0.379,2025-01-31
EV0266,C0074,P0198,Phone_Record,0.317,2024-08-05
EV0267,C0117,P0043,Location_Data,0.93,2026-01-01
EV0268,C0074,P0047,CCTV,0.863,2023-11-11
EV0269,C0042,P0061,Phone_Record,0.233,2024-10-10
EV0270,C0148,P0033,Vehicle_Record,0.406,2024-01-13
EV0271,C0053,P0144,Witness_Statement,0.227,2024-10-11
EV0272,C0089,P0038,Bank_Transaction,0.554,2023-11-29
EV0273,C0137,P0078,Phone_Record,0.927,2025-04-08
EV0274,C0128,P0197,CCTV,0.949,2024-10-17
EV0275,C0040,P0002,Witness_Statement,0.631,2025-11-05
EV0276,C0085,P0166,Witness_Statement,0.433,2024-08-16
EV0277,C0147,P0171,CCTV,0.832,2025-06-24
EV0278,C0087,P0177,Phone_Record,0.778,2023-03-24
EV0279,C0036,P0174,Location_Data,0.292,2023-02-20
EV0280,C0103,P0159,CCTV,0.552,2023-07-09
EV0281,C0084,P0015,Location_Data,0.707,2026-04-09
EV0282,C0135,P0057,Bank_Transaction,0.355,2023-06-21
EV0283,C0138,P0115,Witness_Statement,0.731,2023-06-28
EV0284,C0132,P0101,CCTV,0.587,2025-11-13
EV0285,C0015,P0171,Bank_Transaction,0.514,2025-05-25
EV0286,C0095,P0099,Bank_Transaction,0.21,2024-12-07
EV0287,C0090,P0079,Vehicle_Record,0.891,2023-06-29
EV0288,C0056,P0187,Vehicle_Record,0.786,2025-05-01
EV0289,C0114,P0074,CCTV,0.836,2025-05-18
EV0290,C0107,P0036,Location_Data,0.672,2023-10-22
EV0291,C0054,P0078,Vehicle_Record,0.981,2025-12-11
EV0292,C0086,P0017,Location_Data,0.797,2023-07-01
EV0293,C0002,P0105,Witness_Statement,0.922,2025-04-28
EV0294,C0045,P0143,Vehicle_Record,0.761,2023-10-08
EV0295,C0052,P0048,Vehicle_Record,0.429,2025-10-01
EV0296,C0011,P0078,Location_Data,0.44,2026-02-19
EV0297,C0119,P0058,Phone_Record,0.825,2023-11-12
EV0298,C0068,P0077,Witness_Statement,0.859,2025-08-25
EV0299,C0032,P0168,Witness_Statement,0.905,2025-05-04
EV0300,C0046,P0126,Witness_Statement,0.709,2023-02-28
EV0301,C0031,P0196,Bank_Transaction,0.59,2023-05-17
EV0302,C0093,P0149,Vehicle_Record,0.647,2024-06-12
EV0303,C0122,P0178,Phone_Record,0.495,2026-03-24
EV0304,C0005,P0067,CCTV,0.66,2023-10-27
EV0305,C0082,P0119,Witness_Statement,0.307,2023-12-01
EV0306,C0014,P0070,Bank_Transaction,0.531,2024-12-30
EV0307,C0013,P0075,Bank_Transaction,0.618,2023-06-07
EV0308,C0132,P0050,Witness_Statement,0.345,2023-07-13
EV0309,C0043,P0140,Bank_Transaction,0.889,2024-09-08
EV0310,C0070,P0176,Witness_Statement,0.744,2023-07-16
EV0311,C0137,P0149,Bank_Transaction,0.85,2023-01-27
EV0312,C0036,P0133,Bank_Transaction,0.495,2025-09-20
EV0313,C0106,P0088,CCTV,0.281,2023-11-13
EV0314,C0129,P0057,CCTV,0.828,2026-02-18
EV0315,C0135,P0137,Witness_Statement,0.635,2023-08-22
EV0316,C0107,P0118,Phone_Record,0.292,2023-09-26
EV0317,C0005,P0123,Bank_Transaction,0.446,2025-01-12
EV0318,C0036,P0114,Location_Data,0.613,2024-12-01
EV0319,C0045,P0182,Bank_Transaction,0.223,2023-08-31
EV0320,C0057,P0033,Witness_Statement,0.312,2024-04-09
EV0321,C0079,P0033,CCTV,0.303,2023-06-10
EV0322,C0109,P0177,Phone_Record,0.261,2025-09-18
EV0323,C0111,P0011,CCTV,0.285,2025-11-17
EV0324,C0016,P0121,Phone_Record,0.918,2023-03-30
EV0325,C0017,P0078,Witness_Statement,0.208,2023-07-17
EV0326,C0032,P0155,CCTV,0.664,2024-02-14
EV0327,C0048,P0172,Bank_Transaction,0.223,2023-10-26
EV0328,C0072,P0149,Bank_Transaction,0.478,2025-10-22
EV0329,C0062,P0130,Location_Data,0.254,2026-03-30
EV0330,C0004,P0136,CCTV,0.765,2024-07-31
EV0331,C0044,P0194,Location_Data,0.203,2023-07-22
EV0332,C0055,P0130,Witness_Statement,0.575,2024-01-15
EV0333,C0113,P0173,Phone_Record,0.343,2024-12-27
EV0334,C0098,P0109,CCTV,0.606,2025-04-14
EV0335,C0029,P0195,Bank_Transaction,0.298,2023-08-14
EV0336,C0134,P0035,Vehicle_Record,0.802,2024-08-13
EV0337,C0143,P0185,Phone_Record,0.265,2025-10-08
EV0338,C0030,P0099,Bank_Transaction,0.561,2024-09-30
EV0339,C0114,P0058,Location_Data,0.522,2025-05-26
EV0340,C0049,P0018,Vehicle_Record,0.942,2025-01-22
EV0341,C0046,P0004,Witness_Statement,0.588,2023-08-04
EV0342,C0102,P0113,Location_Data,0.72,2023-06-24
EV0343,C0031,P0037,Vehicle_Record,0.516,2023-07-28
EV0344,C0044,P0017,Bank_Transaction,0.97,2024-11-24
EV0345,C0052,P0153,Vehicle_Record,0.297,2025-05-19
EV0346,C0128,P0072,Witness_Statement,0.805,2024-07-13
EV0347,C0103,P0092,Vehicle_Record,0.727,2025-04-08
EV0348,C0125,P0131,Bank_Transaction,0.316,2025-07-20
EV0349,C0028,P0032,Bank_Transaction,0.587,2024-04-17
EV0350,C0035,P0008,Phone_Record,0.783,2023-05-20
EV0351,C0128,P0174,Phone_Record,0.968,2025-02-22
EV0352,C0084,P0040,Bank_Transaction,0.691,2023-07-17
EV0353,C0020,P0170,Location_Data,0.806,2025-08-12
EV0354,C0052,P0076,Witness_Statement,0.593,2025-10-30
EV0355,C0067,P0139,Bank_Transaction,0.839,2026-01-12
EV0356,C0140,P0005,Phone_Record,0.983,2023-09-01
EV0357,C0099,P0116,Bank_Transaction,0.874,2025-06-25
EV0358,C0118,P0010,Phone_Record,0.34,2024-09-12
EV0359,C0043,P0126,Vehicle_Record,0.306,2025-03-07
EV0360,C0125,P0196,Phone_Record,0.649,2025-10-01
EV0361,C0142,P0176,Location_Data,0.652,2025-09-01
