person_id,name,age,gender,role,city,risk_score
P0001,Person_0001,19,F,Known_Criminal,Mumbai,0.258
P0002,Person_0002,61,M,Witness,Pune,0.442
P0003,Person_0003,31,M,Suspect,Pune,0.61
P0004,Person_0004,63,F,Known_Criminal,Mumbai,0.468
P0005,Person_0005,18,M,Suspect,Kolkata,0.443
P0006,Person_0006,31,F,Suspect,Delhi,0.136
P0007,Person_0007,40,F,Suspect,Delhi,0.729
P0008,Person_0008,42,M,Known_Criminal,Pune,0.323
P0009,Person_0009,41,M,Known_Criminal,Kolkata,0.115
P0010,Person_0010,36,M,Known_Criminal,Mumbai,0.856
P0011,Person_0011,47,F,Suspect,Mumbai,0.394
P0012,Person_0012,35,M,Suspect,Pune,0.641
P0013,Person_0013,33,M,Known_Criminal,Lucknow,0.403
P0014,Person_0014,58,M,Associate,Kolkata,0.352
P0015,Person_0015,21,M,Witness,Delhi,0.799
P0016,Person_0016,22,M,Suspect,Pune,0.865
P0017,Person_0017,59,F,Suspect,Lucknow,0.873
P0018,Person_0018,27,F,Known_Criminal,Mumbai,0.279
P0019,Person_0019,34,F,Known_Criminal,Pune,0.421
P0020,Person_0020,26,F,Suspect,Delhi,0.753
P0021,Person_0021,27,M,Victim,Kolkata,0.443
P0022,Person_0022,42,F,Suspect,Pune,0.284
P0023,Person_0023,18,M,Known_Criminal,Kolkata,0.873
P0024,Person_0024,59,F,Witness,Delhi,0.323
P0025,Person_0025,18,F,Suspect,Pune,0.759
P0026,Person_0026,24,F,Known_Criminal,Kolkata,0.522
P0027,Person_0027,41,M,Suspect,Pune,0.937
P0028,Person_0028,18,F,Associate,Lucknow,0.068
P0029,Person_0029,37,M,Associate,Delhi,0.274
P0030,Person_0030,23,M,Known_Criminal,Kolkata,0.502
P0031,Person_0031,52,M,Suspect,Mumbai,0.664
P0032,Person_0032,28,F,Associate,Pune,0.861
P0033,Person_0033,31,M,Suspect,Kolkata,0.34
P0034,Person_0034,59,F,Associate,Lucknow,0.887
P0035,Person_0035,33,M,Known_Criminal,Delhi,0.364
P0036,Person_0036,32,M,Known_Criminal,Delhi,0.116
P0037,Person_0037,32,M,Known_Criminal,Delhi,0.849
P0038,Person_0038,33,F,Suspect,Kolkata,0.501
P0039,Person_0039,64,F,Known_Criminal,Mumbai,0.78
P0040,Person_0040,30,M,Victim,Delhi,0.663
P0041,Person_0041,44,F,Suspect,Kolkata,0.1
P0042,Person_0042,59,M,Known_Criminal,Delhi,0.424
P0043,Person_0043,24,M,Suspect,Mumbai,0.227
P0044,Person_0044,45,M,Suspect,Jaipur,0.48
P0045,Person_0045,22,F,Victim,Pune,0.141
P0046,Person_0046,52,M,Known_Criminal,Delhi,0.912
