edge_id,source_id,target_id,relationship,strength,first_seen,interaction_count
E0001,P0003,P0120,co_location,0.71,2023-11-20,10
E0002,P0114,P0089,social_connection,0.369,2025-05-18,33
E0003,P0117,P0078,financial_transfer,0.999,2025-09-16,14
E0004,P0061,P0098,social_connection,0.423,2024-08-28,38
E0005,P0006,P0169,vehicle_shared,0.347,2026-03-05,7
E0006,P0156,P0191,vehicle_shared,0.85,2024-08-09,30
E0007,P0156,P0091,financial_transfer,0.673,2024-05-28,18
E0008,P0161,P0025,family,0.682,2024-09-24,57
E0009,P0009,P0149,co_location,0.759,2023-07-04,38
E0010,P0084,P0192,vehicle_shared,0.258,2023-09-28,70
E0011,P0094,P0136,social_connection,0.922,2023-12-03,33
E0012,P0124,P0076,family,0.883,2023-08-24,60
E0013,P0020,P0037,known_associate,0.97,2025-03-24,72
E0014,P0094,P0024,known_associate,0.455,2024-06-25,69
E0015,P0032,P0117,co_location,0.706,2024-06-20,75
E0016,P0098,P0164,co_location,0.198,2024-04-23,61
E0017,P0007,P0159,social_connection,0.395,2024-03-29,9
E0018,P0163,P0119,family,0.372,2025-04-16,15
E0019,P0036,P0012,phone_contact,0.374,2025-10-05,15
E0020,P0025,P0061,social_connection,0.222,2025-07-18,48
E0021,P0172,P0191,family,0.951,2025-05-08,76
E0022,P0191,P0187,financial_transfer,0.897,2023-07-22,63
E0023,P0158,P0105,co_location,0.129,2025-01-28,28
E0024,P0114,P0061,known_associate,0.426,2025-01-22,70
E0025,P0166,P0092,phone_contact,0.458,2024-01-24,16
E0026,P0117,P0024,family,0.291,2023-02-13,7
E0027,P0086,P0063,financial_transfer,0.808,2024-02-25,9
E0028,P0196,P0142,financial_transfer,0.628,2024-04-22,43
E0029,P0199,P0038,known_associate,0.91,2023-01-06,36
E0030,P0038,P0034,social_connection,0.326,2023-12-24,15
E0031,P0170,P0007,financial_transfer,0.113,2024-05-02,76
E0032,P0083,P0005,financial_transfer,0.339,2023-09-17,54
E0033,P0135,P0030,family,0.157,2025-07-07,47
E0034,P0132,P0152,phone_contact,0.507,2024-03-29,79
E0035,P0012,P0187,known_associate,0.918,2025-12-03,39
E0036,P0118,P0165,phone_contact,0.155,2025-09-07,52
E0037,P0110,P0176,phone_contact,0.541,2025-06-27,10
E0038,P0021,P0083,social_connection,0.234,2023-09-16,36
E0039,P0160,P0163,social_connection,0.594,2024-10-27,49
E0040,P0153,P0136,co_location,0.508,2025-05-31,13
E0041,P0180,P0030,known_associate,0.689,2026-02-03,28
E0042,P0111,P0116,financial_transfer,0.472,2025-07-17,52
E0043,P0107,P0187,phone_contact,0.381,2024-10-02,33
E0044,P0096,P0040,family,0.931,2023-05-18,12
E0045,P0022,P0024,vehicle_shared,0.187,2025-02-02,17
E0046,P0143,P0016,social_connection,0.961,2026-02-24,43
E0047,P0172,P0032,vehicle_shared,0.418,2025-05-16,7
E0048,P0074,P0154,co_location,0.416,2026-03-29,65
E0049,P0055,P0040,family,0.534,2023-08-10,45
E0050,P0143,P0095,phone_contact,0.786,2026-03-21,29
E0051,P0110,P0144,known_associate,0.837,2026-02-14,4
E0052,P0156,P0169,known_associate,0.724,2023-03-01,24
E0053,P0070,P0180,known_associate,0.378,2024-11-26,45
E0054,P0002,P0047,known_associate,0.229,2025-03-31,9
E0055,P0037,P0190,family,0.975,2023-07-07,68
E0056,P0056,P0097,vehicle_shared,0.508,2023-11-19,48
E0057,P0080,P0185,co_location,0.799,2026-03-08,77
E0058,P0022,P0014,financial_transfer,0.242,2023-04-12,11
E0059,P0070,P0114,family,0.482,2025-06-24,54
E0060,P0070,P0056,known_associate,0.561,2024-12-07,56
E0061,P0029,P0073,family,0.711,2025-09-23,68
E0062,P0171,P0079,phone_contact,0.298,2023-04-23,1
E0063,P0053,P0078,financial_transfer,0.791,2024-06-07,38
E0064,P0084,P0031,phone_contact,0.548,2025-05-31,23
E0065,P0034,P0098,social_connection,0.733,2025-10-21,72
E0066,P0172,P0091,phone_contact,0.457,2023-03-28,56
E0067,P0005,P0118,phone_contact,0.876,2026-03-25,55
E0068,P0147,P0104,family,0.676,2024-08-15,15
E0069,P0104,P0006,co_location,0.255,2025-07-31,47
E0070,P0023,P0112,known_associate,0.195,2025-06-11,76
E0071,P0103,P0135,phone_contact,0.456,2024-09-27,44
E0072,P0057,P0086,known_associate,0.251,2025-11-11,15
E0073,P0136,P0131,financial_transfer,0.915,2024-12-16,45
E0074,P0187,P0166,known_associate,0.233,2023-07-30,19
E0075,P0066,P0051,financial_transfer,0.642,2023-06-04,23
E0076,P0198,P0161,vehicle_shared,0.518,2026-02-28,75
E0077,P0115,P0175,social_connection,0.679,2024-10-23,41
E0078,P0039,P0113,phone_contact,0.522,2024-09-12,36
E0079,P0152,P0015,co_location,0.557,2024-09-27,60
E0080,P0116,P0010,phone_contact,0.432,2024-08-10,10
E0081,P0166,P0024,social_connection,0.635,2025-02-26,60
E0082,P0149,P0142,known_associate,0.765,2023-03-26,58
E0083,P0147,P0167,financial_transfer,0.389,2025-09-01,65
E0084,P0039,P0016,vehicle_shared,0.193,2024-12-04,11
E0085,P0130,P0166,financial_transfer,0.135,2025-06-15,57
E0086,P0135,P0134,social_connection,0.243,2025-02-02,37
E0087,P0100,P0105,known_associate,0.405,2023-04-18,43
E0088,P0017,P0085,phone_contact,0.602,2025-03-02,37
E0089,P0065,P0186,known_associate,0.691,2023-11-04,43
E0090,P0021,P0150,family,0.227,2024-12-17,40
E0091,P0168,P0179,family,0.453,2023-06-23,40
E0092,P0144,P0097,family,0.812,2023-09-19,68
E0094,P0172,P0109,social_connection,0.426,2025-01-12,40
E0095,P0047,P0055,co_location,0.953,2025-09-22,25
E0096,P0058,P0036,financial_transfer,0.169,2023-07-27,65
E0097,P0198,P0139,known_associate,0.765,2025-12-14,5
E0098,P0170,P0087,known_associate,0.656,2025-02-10,20
E0099,P0042,P0047,known_associate,0.724,2023-12-06,57
E0100,P0012,P0106,co_location,0.709,2024-05-01,57
E0101,P0157,P0073,known_associate,0.774,2025-07-08,30
E0102,P0137,P0062,co_location,0.969,2025-08-18,25
E0103,P0095,P0174,social_connection,0.986,2025-08-03,37
E0104,P0200,P0098,social_connection,0.575,2023-11-28,26
E0105,P0155,P0036,known_associate,0.325,2025-09-11,48
E0106,P0142,P0027,family,0.861,2023-09-13,37
E0107,P0022,P0196,financial_transfer,0.346,2025-11-17,19
E0108,P0112,P0024,financial_transfer,0.835,2024-12-16,4
E0109,P0107,P0014,vehicle_shared,0.552,2024-04-27,50
E0110,P0021,P0096,financial_transfer,0.125,2023-07-22,43
E0111,P0038,P0036,phone_contact,0.358,2025-08-25,18
E0112,P0195,P0181,vehicle_shared,0.504,2023-01-11,11
E0113,P0005,P0066,financial_transfer,0.851,2026-01-28,78
E0114,P0136,P0109,phone_contact,0.799,2024-05-01,39
E0115,P0032,P0013,financial_transfer,0.478,2025-07-25,9
E0116,P0029,P0128,social_connection,0.582,2025-11-21,74
E0117,P0062,P0184,financial_transfer,0.362,2023-01-04,79
E0118,P0091,P0062,social_connection,0.475,2023-06-25,68
E0119,P0093,P0018,social_connection,0.59,2025-11-05,71
E0120,P0006,P0100,known_associate,0.523,2025-03-03,48
E0121,P0065,P0192,phone_contact,0.421,2023-05-19,45
E0122,P0062,P0188,family,0.665,2026-04-06,43
E0123,P0035,P0012,co_location,0.591,2023-12-25,60
E0124,P0179,P0123,family,0.264,2023-10-04,9
